                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66379,                0.31994,                0.89412,                0.97946,                0.96863,                0.98688,                0.84173,                0.61228,                  0.265,                0.87726,             0.00074088,             0.00074088,             0.00074088
                     37,                0.67031,                0.32207,                0.89854,                0.97802,                0.96938,                0.98659,                0.83988,                0.61125,                0.26464,                0.87732,               0.000727,               0.000727,               0.000727
                     38,                0.66447,                0.31717,                0.89401,                0.97996,                0.96782,                0.98638,                0.83901,                0.61284,                0.26451,                0.87771,             0.00071289,             0.00071289,             0.00071289
                     39,                 0.6656,                0.32428,                0.89949,                0.97891,                0.96826,                0.98683,                0.84185,                0.61224,                0.26315,                0.87797,             0.00069857,             0.00069857,             0.00069857
                     40,                 0.6676,                0.31825,                0.89667,                0.97959,                0.96863,                0.98679,                0.84263,                0.61348,                0.26322,                0.87912,             0.00068406,             0.00068406,             0.00068406
                     41,                0.66042,                0.31608,                0.89326,                0.98035,                0.96789,                0.98694,                0.84275,                0.61258,                0.26353,                0.87771,             0.00066937,             0.00066937,             0.00066937
                     42,                0.65523,                0.31455,                0.89297,                0.97929,                0.96938,                0.98732,                0.84352,                 0.6124,                0.26374,                0.87632,             0.00065451,             0.00065451,             0.00065451
                     43,                0.66443,                0.31364,                0.89017,                0.97852,                0.96964,                0.98704,                 0.8431,                 0.6122,                0.26335,                0.87516,              0.0006395,              0.0006395,              0.0006395
                     44,                0.65026,                0.30954,                0.88761,                0.98042,                0.96901,                0.98665,                0.84325,                0.61214,                0.26319,                0.87427,             0.00062434,             0.00062434,             0.00062434
                     45,                0.65995,                0.30579,                0.89033,                0.97852,                 0.9696,                0.98709,                0.84399,                0.61209,                0.26339,                0.87347,             0.00060907,             0.00060907,             0.00060907
                     46,                0.64646,                0.30787,                0.88658,                0.97837,                0.96938,                0.98766,                0.84424,                0.61145,                0.26295,                 0.8727,             0.00059369,             0.00059369,             0.00059369
                     47,                0.65294,                0.30662,                0.89188,                0.97815,                0.96957,                0.98778,                0.84505,                0.61034,                 0.2619,                0.87262,             0.00057822,             0.00057822,             0.00057822
                     48,                0.65212,                0.30612,                0.89046,                0.97742,                0.97013,                0.98669,                0.84455,                0.61046,                0.26144,                0.87294,             0.00056267,             0.00056267,             0.00056267
                     49,                0.64905,                0.30643,                0.88856,                0.97747,                0.97013,                0.98649,                0.84461,                0.60996,                0.26099,                0.87279,             0.00054705,             0.00054705,             0.00054705
                     50,                0.64575,                0.30097,                 0.8888,                0.97708,                0.97095,                0.98649,                0.84429,                0.61002,                0.26048,                0.87313,              0.0005314,              0.0005314,              0.0005314
                     51,                 0.6535,                0.30322,                 0.8913,                0.97818,                0.97104,                0.98712,                 0.8442,                0.60997,                0.26051,                0.87298,             0.00051571,             0.00051571,             0.00051571
